Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.597222,-122.319722,2021-02-17T17:00:00Z,PM2.5,5,UG/M3,5,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.753633,-122.277192,2021-02-17T17:00:00Z,PM2.5,5.5,UG/M3,4.9,23,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T17:00:00Z,PM2.5,5.8,UG/M3,4,24,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
47.22634,-122.46256,2021-02-17T18:00:00Z,PM2.5,6.1,UG/M3,6,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.562,-122.3405,2021-02-17T18:00:00Z,PM2.5,7.5,UG/M3,7,31,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T18:00:00Z,PM2.5,5.5,UG/M3,5.8,23,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.568236,-122.308628,2021-02-17T18:00:00Z,OZONE,27,PPB,34.9622,25,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.22634,-122.46256,2021-02-17T19:00:00Z,PM2.5,6,UG/M3,6,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.562,-122.3405,2021-02-17T19:00:00Z,PM2.5,6.2,UG/M3,5,26,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T19:00:00Z,PM2.5,5.2,UG/M3,4.8,22,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T19:00:00Z,PM2.5,5.6,UG/M3,7,23,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-02-17T19:00:00Z,OZONE,28,PPB,36.4291,26,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
48.055,-122.175797,2021-02-17T19:00:00Z,PM2.5,8,UG/M3,7,33,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
